Local time,open,high,low,close,volume
08.11.2019 00:00:00,1.10524,1.10554,1.10167,1.10176,116906.1953
10.11.2019 00:00:00,1.1023,1.10231,1.10191,1.10218,1359.570004
11.11.2019 00:00:00,1.10217,1.1043,1.10163,1.10347,86681.40027
12.11.2019 00:00:00,1.10347,1.10385,1.10025,1.1012,120036.4336
13.11.2019 00:00:00,1.1012,1.10203,1.09953,1.10096,121193.0854
14.11.2019 00:00:00,1.10096,1.10274,1.0989,1.10197,116532.0553
15.11.2019 00:00:00,1.10198,1.10569,1.10145,1.10494,109547.4303
17.11.2019 00:00:00,1.10489,1.10545,1.10487,1.10539,3888.610006
18.11.2019 00:00:00,1.1054,1.10899,1.10533,1.10722,112908.3253
19.11.2019 00:00:00,1.10721,1.10839,1.10626,1.10779,109962.5887
20.11.2019 00:00:00,1.10781,1.10813,1.1053,1.10779,129488.8304
21.11.2019 00:00:00,1.10779,1.10969,1.10522,1.10656,126596.8054
22.11.2019 00:00:00,1.10657,1.10872,1.10143,1.10179,176378.3804
24.11.2019 00:00:00,1.1017,1.10225,1.10162,1.10225,3677.939993
25.11.2019 00:00:00,1.10225,1.10321,1.10035,1.10104,115068.7229
26.11.2019 00:00:00,1.10105,1.10256,1.10071,1.1022,111062.3754
27.11.2019 00:00:00,1.1022,1.10222,1.09922,1.10048,117354.7804
28.11.2019 00:00:00,1.10049,1.10179,1.10003,1.10113,74289.85026
29.11.2019 00:00:00,1.10113,1.10282,1.09811,1.1015,101410.5454
01.12.2019 00:00:00,1.10229,1.10269,1.1017,1.10182,2960.700004
02.12.2019 00:00:00,1.10182,1.10907,1.10029,1.10761,132786.6655
03.12.2019 00:00:00,1.1076,1.10934,1.1066,1.10818,129714.0304
04.12.2019 00:00:00,1.10819,1.11161,1.10666,1.10827,151487.5712
05.12.2019 00:00:00,1.10824,1.1108,1.10793,1.11038,123792.3047
06.12.2019 00:00:00,1.11039,1.11097,1.10398,1.10543,120864.613
08.12.2019 00:00:00,1.1058,1.10604,1.10562,1.10582,1990.830004
09.12.2019 00:00:00,1.10581,1.10779,1.10533,1.10643,109027.3902
10.12.2019 00:00:00,1.10642,1.10977,1.10628,1.10923,129542.9602
11.12.2019 00:00:00,1.10923,1.11448,1.10701,1.11325,144933.3203
12.12.2019 00:00:00,1.11326,1.11995,1.11029,1.11833,192578.1037
13.12.2019 00:00:00,1.11833,1.1186,1.1112,1.11174,211781.3353
15.12.2019 00:00:00,1.1128,1.11309,1.11225,1.11242,4374.155002
16.12.2019 00:00:00,1.11241,1.11581,1.11229,1.11355,151090.557
17.12.2019 00:00:00,1.11355,1.11746,1.11293,1.11514,151614.5278
18.12.2019 00:00:00,1.11512,1.11512,1.11105,1.11154,146608.2703
19.12.2019 00:00:00,1.11154,1.11442,1.11072,1.11231,157736.0989
20.12.2019 00:00:00,1.11231,1.11236,1.10662,1.10769,130731.8878
22.12.2019 00:00:00,1.1081,1.10813,1.10766,1.10802,2560.48
23.12.2019 00:00:00,1.10801,1.10958,1.10699,1.10917,108289.4303
24.12.2019 00:00:00,1.10918,1.10938,1.1069,1.10873,80970.67975
25.12.2019 00:00:00,1.10873,1.10953,1.1073,1.10944,4887.31
26.12.2019 00:00:00,1.10944,1.11088,1.10821,1.11012,52487.63411
27.12.2019 00:00:00,1.11013,1.11883,1.10987,1.11713,124575.9024
29.12.2019 00:00:00,1.11736,1.11839,1.11718,1.11813,3216.4994
30.12.2019 00:00:00,1.11812,1.12207,1.11806,1.12013,130773.8751
31.12.2019 00:00:00,1.12013,1.12391,1.11987,1.12076,107776.5601
01.01.2020 00:00:00,1.12106,1.12218,1.12106,1.12188,2612.320002
02.01.2020 00:00:00,1.12188,1.12245,1.11635,1.11708,487219.118
